trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
642,False,"{'a': 0.6, 'e': 0.0015768665174145879}",30,14,23.44701627678248,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.6, 'e': 0.001561097852240442}",25,7,34.45210251634833,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.6, 'e': 0.0015454868737180376}",35,21,23.345914357955348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.6, 'e': 0.0015300320049808573}",20,0,29.319987019910094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
646,False,"{'a': 0.6, 'e': 0.0015147316849310486}",20,14,11.89278916335285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.6, 'e': 0.001499584368081738}",20,10,17.511093761098586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.6, 'e': 0.0014845885244009207}",20,14,11.725072863858893,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.6, 'e': 0.0014697426391569114}",25,10,28.4035476450791,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.6, 'e': 0.0014550452127653423}",30,19,23.17980306099896,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.6, 'e': 0.001440494760637689}",30,13,27.89316931012701,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.6, 'e': 0.001426089813031312}",20,10,17.719113197592577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.6, 'e': 0.0014118289149009989}",20,6,25.878133286455803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
